manifesto_id,sentence,label
63621_202205,"They underpin our national security and drive our economic prosperity by creating new jobs, securing competitive manufacturing, improving our health and vaccination outcomes, increasing agricultural productivity, modernising our infrastructure and communications, enabling our energy transition, strengthening our defence forces and preserving our democracy.",pos
51620_201706,If you are at a state school you are less likely to reach the top professions than if you are educated privately.,neg
63320_202205,"An Albanese Labor Government will rebuild our proud manufacturing industry, and build a future made right here in Australia.",pos
63620_202205,"He has argued for higher taxes on retirees, housing, families and inheritances.",neg
61620_200411,Saudi Arabia is working hard to shut down the facilitators and financial supporters of terrorism.,pos
63810_201905,Only the Morrison Government can be trusted to continue to invest the resources necessary to keep it that way: We have given our ADF the power to target terrorists with lethal force (in accordance with international law).,pos
53320_201602,"Where the investigator was unable to establish clear facts, the report would if necessary be followed by a formal parliamentary inquiry.",neu
63621_201309,We will prioritise projects based on a proper cost-benefit analysis.,neu
51620_201706,"We will establish new institutes of technology, backed by leading employers and linked to leading universities, in every major city in England.",pos
61320_199611,"OPPORTUNITY For 220 years, America has been defined by a single ideal: Opportunity for all who take the responsibility to seize it.",pos
63810_201905,"While housing prices have been coming down in some cities, we understand it is still a challenge for people who want to buy their first home.",neu
63620_197512,The States and local government will each be given a guaranteed proportion of income tax revenue.,neu
64620_198708,In light of this National will urgently and comprehensively review New Zealand's defence capabilities and requirements.,neu
53620_197302,Between them these two bodies have slowed down the rate at which prices and costs have been rising.,pos
51420_197402,"Finally, the Government's long-term plan to reorganise the steel industry and close some steelmaking plants should be reviewed in the light of the changed situation.",neu
63810_202205,"This is a $4.5 billion plan, with around 20,000 Central Coast premises eligible for an on-demand upgrade from Fibre to the Node to Fibre to the Premises by 2023, delivering ultra-fast broadband of up to 1 Gbps.",neu
51901_201505,Wales benefits from our membership and we will not put hundreds of thousands of jobs in Wales at risk through leaving.,pos
63621_202205,The safety and security of our region cannot be taken for granted.,neg
53620_200205,"The bilateral aid programme will concentrate mainly on least developed African countries, but with some increase in targeted aid aimed at East Timor, a new priority country in Asia, reconstruction in Afghanistan, countries in Central America, and, in selective cases, parts of Central and Eastern Europe.",neu
64320_196011,Labour will undertake periodic overhauls of the transport licensing system in the light of modern developments.,neu
64320_196611,The scheme will be used to help local bodies and private interests provide sufficient exotic timbers to meet local needs.,pos
61320_201611,That is why we will strengthen the gainful employment rule to ensure that for-profit schools enable students to complete their degrees and prepare them for work.,pos
53952_202002,The Brexit debacle underscores the harm and stagnation stemming from partition.,neg
61620_198011,The Republican Party believes the United States must adopt an aggressive export policy.,neg
51330_198706,Some of what we want to do will have to wait until we have earned the resources with which to do it.,neg
64620_197811,These schemes will continue to be reviewed in the light of the current labour market situation.,neu
64420_202010,"By matching Government funding with local knowledge, we can get more and better infrastructure built.",pos
53320_200705,"We need changes in structure, organisation management in order to ensure the most effectdeployment of the Gardaí and the most efficipossible use of resources.",neu
181411_200904,Medicines State patients often spend hours or days at hospitals waiting to collect medicines they have been prescribed.,neg
64620_197511,National's land settlement policies are designed to ensure that the maximum beneficial use is made of New Zealand's agricultural land.,pos
61620_200411,Honoring and Supporting Our Armed Forces America's men and women in uniform are currently on the front lines of the War on Terror.,pos
63320_199603,"The Federal Labor Government has an outstanding record in the identification, management and protection of Australia's World Heritage assets.",pos
64620_198708,NZSO National's Broadcasting Policy has announced a complete re-structuring of the shape of public broadcasting in New Zealand.,neu
64320_202010,Resetting the foundations of the welfare system by exploring amendments to the purpose and principles of the Social Security Act 2018 with a focus on developing a kaupapa Maori values framework.,neu
64620_201409,Pass the Accounting Infrastructure Reform Bill to make the accounting and audit industry more efficient and effective.,pos
53520_202002,Amending the Organisation of Working Time Act Fine Gael is committed to amending the Organisation of Working Time Act and bringing the Defence Forces within the scope of its provisions.,neu
61320_201211,We have made great efforts to reduce the violence in Darfur and built international support for a successful referendum on South Sudan’s future.,pos
53520_198211,"Only a two-pronged attack through reform and tackling poverty, taken in conjunction with more effective measures against crime can ultimately succeed.",pos
62420_200011,We will also conduct more research on contaminants that threaten our water supplies.,neg
62110_200810,"These recommendations can have an immediate, positive, and measurable impact on Canadian's health and turn us away from a health system focused on disease treatment to one where disease prevention and good health promotion are the priority.",pos
53620_200705,A high quality efficient transport system enhances quality of life for all.,pos
62420_201510,"Finally, to encourage more voter participation, we will support Elections Canada in proactively registering Canadians from groups that historically have lower turnout, such as students.",pos
64620_197811,"The main recommendations of the Meta Kingi report on ""Farming of Maori Leasehold Land"" will be implemented by the Maori Land Board after full discussion with the land owners.",neu
63620_202205,"A re-elected Coalition Government will continue record investment in the Central Coast’s health and aged care services, including: More than $2.2 million to extend the highly successful Health on the Streets Program (HoTS) program for three years, delivered by Coast and Country Primary Care.",neu
51903_201505,To do so we need help from Westminster and we need to take bold steps at home as well.,pos
181411_200904,"However, BEE has become elitist rather than broad based, and as a result it has excluded millions of deeply disadvantaged South Africans from the economy.",neg
51110_202407,The cull has no evidence basis and has failed to effectively reduce Bovine TB.,neg
63620_201905,Making matters worse the $387 billion tax hike doesn’t take into account Labor’s electricity and car taxes.,neg
53220_198211,We will keep up the pressure until only lead free petrol is allowed on the Irish market .,neg
64620_201111,"Labour’s legacy Deep recession and job losses In 2008  National inherited an economy that had  lost a lot of its international competitiveness, and  was  overly  reliant on consumption, debt,  and  a reckless growth in  government spending.",neg
51320_197006,"Even with Labour's new high levels of expenditure on housing and welfare, hospitals, and social services generally, the areas of greatest social need will lag behind for many years to come.",neg
64320_198407,"Therefore Labour's policies will be designed to overcome inequalities arising from gender, race, income or environment.",pos
64320_199311,"Cities and Crime Cities are the major breeding ground for crime, and its causes and effects must be confronted immediately and effectively.",neg
51620_199204,- WE SEEK A SOLUTION TO THE DISPUTE WHICH HAS DIVIDED CYPRUS SINCE 1974.,neu
63621_201905,"They would threaten the livelihoods of 35,000 owner truck drivers by promising a return of the union-friendly trucking tribunal that threatened to put them out of business.",neg
64420_202010,The Government recently announced a new set of water quality rules including what it calls “environmental bottom lines”.,neu
64320_199311,"Education, childcare, housing and employment policies are all part of our integrated approach to combating crime.",neu
63620_201905,"A re-elected Morrison Government will:Deliver a Tourism Icons Package to ensure that Australia’s tourism icons, particularly regional icons, remain world-class experiences and continue to attract high-value tourists.",pos
53320_200705,Included in these is the failure to ensure that potentially fatal bacteria were absent from Irish drinking water.,neg
61620_198411,"Radio Marti, the new broadcast service to Cuba, will begin to broadcast the truth about Cuba to the Cuban people.",pos
53620_200205,We will complete our programme of multi-annual increases in Child Benefit and ensure that there is no going back to the days when it received only minor and occasional increases.,neu
53620_201602,Unfortunately Labour and Fine Gael have seen support for disadvantaged schools as an easy target for cutbacks and have stopped all progress in this area.,neg
64951_197811,(a) Present legislation on the subject of industrial safety will be revised and strengthened in its administration so that it may better safeguard workers against accidents and also minimize the loss to industry of valuable man-hours.,pos
51421_202407,We will repair the broken safety net that currently consigns so many to poverty.,neg
181411_201905,"We will offer more care for asylum seekers and refugees, and assist them with empathetic and well-trained officials, staff and immigration supervisors from Home Affairs, along with police officers who know how to treat undocumented immigrants fairly and according to the law.",pos
53320_201102,"More  immediately, Labour will introduce a legal right to a career break, subject to reasonable conditions, which  would allow parents to take time out of the workplace without risking future benefits or job security.",pos
64620_202010,"However, there have been numerous issues of testing procedures not being followed, with inconsistencies in required testing of individuals in managed isolation and quarantine.",neg
62620_200011,- A PROGRESSIVE CONSERVATIVE GOVERNMENT WOULD TRANSFER THE POLICY AND SCIENCE BRANCHES OF FISHERIES AND OCEANS TO THE EAST AND WEST COASTS TO BETTER UNDERSTAND AND RESPOND TO THE CONCERNS OF FISHERS.,neu
64320_200207,• Recognised racing’s unique status as a community purpose by allowing the industry to operate gaming machines while emphasising the commercial importance of the industry through the Racing Bill.,pos
63622_201309,New opportunities for our youth to learn in the Asian region We aim to develop stronger people-to-people relationships with the countries in our region and this presents enormous opportunities for the youth of Australia.,pos
64951_198111,- Social Credit will encourage any domestic or industrial installation which will lessen energy consumption or utilise traditional energy resources more efficiently (e.g.,pos
51620_197905,We cannot allow a repetition of the behaviour that we saw outside too many of our factories and hospitals last winter.,neg
62320_200810,"End the Conservatives’ restrictive 2007 Canada-US softwood lumber agreement, work to re-open U.S. markets based on fair trade in lumber, and develop alternatives to the US market.",neg
64620_198111,Leadership in each sector is strong with industries setting ambitious   growth targets for the 1980's.,pos
53110_199706,"While Ireland has moved closer to becoming a pluralist and more tolerant society in recent years, many remain marginalised.",neg
53620_200705,"We are committed to a programme of expansion, investment and reform for the force.",neu
181310_199906,"This requires communities that unite, forging partnerships to address their problems, without waiting for orders or hand-outs from elsewhere.",pos
53620_200205,We want to go further and to open up opportunity to every community.,pos
181310_201405,OUR VISION AND PLAN South Africa has begun a new and far-reaching phase of its democratic transition.,neu
64951_196911,We intend to promote this aspect by the provision of high quality seed sources.,neu
63621_201607,"NorthConnex Connecting the Central Coast to Sydney, avoiding up to 40 traffic lights on the Pacific Highway and 21 on Pennant Hills Road.",neu
53320_201102,The change in Capital Acquisitions Tax will be introduced in 2011 to  finance changes in the Universal Social Charge.,neu
51621_202407,"They have served with distinction at Trafalgar, Waterloo, The Somme, D-Day landings, Imjin River in Korea and more recently Iraq and Afghanistan.",pos
61620_198811,We will vigorously continue our support for establishment of a genuinely representative government directly elected by the Cuban people.,pos
51951_201706,Seven is too young to be tested and this test narrows the curriculum and puts pressure on teachers to concentrate time and resources on borderline pupils.,neg
63622_201309,Every Cabinet submission will once more contain a regulation impact statement that will quantify the compliance costs imposed and matching compliance cost cuts.,neu
62320_202109,"Meanwhile, those at the top have done very well – profiting during the pandemic while ordinary Canadians struggled.",neg
64620_202010,National backs the creative sector to grow as it adds vibrancy to our communities.,pos
53320_201102,The cost of insurance premiums under a Universal Hospital Care Insurance system should not change from what they are at present.,neu
62620_199706,That’s because the value of these equalized tax points will increase over  time as the economy and population grow.,neu
64620_199311,• Review the funding arrangements of English as a second language.,neu
64420_200207,• To provide for compensation for the removal of common law property rights.,neu
181411_200404,"The DA will reward teachers on the basis of performance, not years of service.",neu
51620_202407,And it is unfair for illegal migrants themselves who risk their lives in the hands of people smugglers.,neg
61320_199611,"We have worked hard over the last four years to rein in big government, slash burdensome regulations, eliminate wasteful programs, and shift problem- solving out of Washington and back to people and communities who understand their situations best.",pos
62420_201510,"MIDDLE CLASS TAX CUT We will give middle class Canadians a tax break, by making taxes more fair.",pos
61620_198811,We pushed an historic reform of toughened sentencing procedures for federal courts to make the punishment fit the crime.,pos
62620_199706,"DEPARTMENT BY DEPARTMENT SAVINGS  Foreign Affairs and International Assistance  - Projected 1998 estimate: $1.322 billion + $1.912 billion  - Projected Savings: $325 million + $473 million  As a major nation on the world stage, it is critical that Canada be represented wherever our interests are affected.",pos
63621_202205,A re-elected Coalition Government will grow WA’s defence industries through: Investing up to $4.3 billion to deliver WA’s first large-vessel dry berth and support a world-class industrial precinct at the Henderson shipyard.,neu
64951_197811,"Where suitable accommodation is not at present available, a Social Credit Government will provide buildings and vest such buildings in the name of trustees acting for the voluntary organization involved.",neu
53110_202002,See through the government’s commitment to phasing out fur farming of all species.,neu
51951_200106,Yet the market must operate against a background of pragmatic and fair regulation.,neu
62110_200810,"Each of us must learn to work not just for his, or her, own self, family or nation, but for the benefit of all mankind.",pos
51320_200505,But we should all now unite to support the fledgling democracy in Iraq.,pos
53520_202002,Fine Gael will ring-fence this revenue to decarbonise the economy and protect the most vulnerable citizens from increases in fuel and energy costs.,pos
61320_200411,"This November, the choice we face as Americans may have more impact on our people and our place in the world than any in our lifetimes.",neu
64620_201409,Carefully managed the Government’s finances to keep interest rates lower for longer.,neu
63320_201607,"That is why, a Shorten Labor Government will draw a line in the sand and embark on a new agenda of partnership with community and non-for-profit organisations.",pos
53520_201602,"This Commission will produce performance reports to rate the level of service provision by Councils, their appropriateness, and whether targets have been met.",neu
63620_201905,This has enabled us to fund 244 Local Drug Action Teams and deliver an addition 471 local drug and alcohol services since 2016 based on community need.,pos
53420_198906,- The use of spot-checks to record failures to make a written tax record of taxable transactions.,neu
61620_197211,There is nothing inherently incompatible between an adequate energy supply and a healthy environment.,neu
63320_199603,"""We will deliver a new homeless youth pilot program "" (John Howard's Fair Australia Speech to ACOSS.",neu
53620_200205,"Almost 3,000 personnel have been recruited – over double the original target for the period.",pos
51620_201706,We will make longerterm reforms to the system to address concerns about the way it currently works.,pos
64320_199010,Labour believes that the projected two million visitor arrivals by the year 2000 can be exceeded.,pos
62420_200810,Canada faces a very real threat from other countries that are increasingly studying whether to impose tariffs on Canadian goods so that their carbon content is taken into account.,neg
64110_202010,"Education Every child deserves a high-quality, free, accessible public education that gives them the best possible start in life.",pos
62320_196206,"Particular attention will be given, in cooperation with the provinces, to extending vocational training for rural youth, including education in modern farming methods.",neu
64620_201409,"Lowered the company tax rate to 28 per cent and lowered all personal income tax rates, as part of the major tax reforms in 2010 Removing the requirement for small and medium sized companies to produce complex and unnecessary financial statements.",neu
181310_201405,"All corrupt officials will be made individually liable for all losses incurred as a result of their corrupt actions Any ANC member or ANC public representative found guilty by a court of law will be expected to step down from any leadership position in the ANC, government and society.",neg
62623_201910,"Too often, during an international summit or meeting, local RCMP officers are pulled out of their local duties.",neg
62110_200810,"In Tobin’s words, it would “cool down the hot money.” The proceeds of such a tax would be approximately $300 billion a year.",neu
51320_196410,"(iii) To minimise the effects of the postponement of school leaving on the large family, Labour will replace inadequate maintenance grants with reorganised family allowances, graduated according to the age of the child, with a particularly steep rise for those remaining at school after the statutory leaving age.",pos
63320_201607,"Beyond the flashpoints of these events, there are the creeping, incremental consequences: A massive decline in agricultural production.",neg
64621_202010,"New Zealand’s COVID-19 recovery plan must not be overly politicised, and focus on utilising our own natural resources, workforce and innovation.",neu
63621_202205,A re-elected Coalition Government will expand our strong environmental action.,neu
61620_196811,Not retention of American superiority but parity with the Soviet Union has been made the controlling doctrine in many critical areas.,neg
63110_201008,"the purpose and impact of all aid programs to be transparent and fully accountable, both to the Australian government and the communities and countries they are designed to benefit.",neu
53320_201102,"Labour will raise the issue of the  payment of Child Benefit in respect of non-resident children at EU level,  and seek to have the entitlement  modified to reflect the cost of living where the child is resident.",neu
64620_201111,"•  Our Voluntary  Bonding Scheme has been taken up by more than 1800 medical, nursing,  and midwifery graduates working in  hard-to staff  specialties and areas.",pos
53951_202002,Home owners should not be burdened with higher mortgage interest rates than their European counterparts and the unfair Local Property Tax.,neg
63810_202205,"The boost applies from Budget night until 30 June 2024, and is uncapped.",pos
63810_202205,$10 million for the eSafety Commissioner to further expand coordination with other regulatory and law enforcement agencies All other funding is already provided for within budget estimates.,neu
64620_201409,Labour and the Greens would: Tie Police up in paperwork and bureaucracy and prevent them being out on the streets stopping crime.,neg
62951_196206,We must keep the nuclear club as small as possible.,neu
63810_202205,OUR PLAN FOR HOUSING AND HOME OWNERSHIP Key points The great Australian dream has always been to own your own home.,pos
80410_199412,"The financial collapse of the Berov/BSP government,of companies and banks,is compensated at the expense of the devaluation of the lev.",neg
61620_200411,"We urge continued support for state, local, and federal law enforcement to work in a cohesive manner in securing our borders to prevent illegal entry.",pos
64620_201409,ENSURE THE PROMINENCE OF SCIENCE -> Roll out the Science in Society project.,pos
63320_196910,"In his policy speech in 1963, Sir Robert Menzies described the Chowilla project as a splendid example of the Liberal approach.",pos
63621_201905,"Because of these reforms, we are also seeing greater employment outcomes – 82 per cent of successful job placements are lasting at least 13 weeks, an increase of 24 per cent over previous arrangements.",pos
63620_201607,", local advanced manufacturing and hi-tech jobs, particularly in regional Australia Export trade deals to generate new business opportunities, give our farmers a competitive edge and open doors into expanding markets for our service industries.",pos
51320_199705,Nearly two thirds of the British workforce lack vocational qualifications.,neg
63810_202205,Our first target is $166 billion of visitor expenditure by 2024.,pos
51420_197905,We defend their right to maintain and develop their own traditions.,pos
51901_202407,The loss of biodiversity and species will affect us all – and 1 in every 6 species in Wales is already threatened with extinction.,neg
181411_201905,"Legislation will be amended to allow greater foreign ownership in SAA, in line with international trends (following British Airways, Qantas, Aer Lingus, Air New Zealand, Kenya Airways and others).",neu
64420_202010,"Similarly, the Government has taken a dictatorial approach to essential services at a cost to safer services.",neg
53320_198106,out of that can come peace and the unity to which we aspire.,pos
62320_200011,"They could have cut hospital waiting lists, cut pollution, cut tuition fees, cut child poverty.",neg
63810_202205,"Business and industry can access extra support <96> through Workforce Specialists <96> for specific projects to connect job seekers to large employers, key industries and occupations with high worker demand.",pos
64320_197811,"While we recognise that aid is an imperfect and interim measure until a new, more just international economic order becomes a reality, Labour nevertheless believes it fills a desperate need.",neu
51621_202407,"Primary care serves as the health service's front door, handling over 90% of all contacts.",neu
63320_201607,"As part of its mental health policy, Labor has committed to working with the States and Territories to build an accurate picture of deaths by suicide and suicide attempts and agree to a national minimum data set for suicide prevention.",neu
63810_201008,The Nationals believe the wellbeing of communities and the rivers that nourish them is paramount.,pos
53420_199211,IRISH LANGUAGE AND CULTURE  The Irish language is a unique and distinct feature of our cultural  heritage.,pos
64320_202010,"This law was the first step in fulfilling women’s rights, reducing gender inequalities and acknowledging the importance of women in our political system.",pos
53320_200705,A similar system will be operating in Northern Ireland when the British government implements its planned domestic carbon trading scheme.,neu
181311_201905,"A UDM government will implement a “Marshall Plan” to save our natural heritage that shall identify, build and reward individuals, institutions and community-based organisations to rescue and conserve our environment.",pos
63810_201008,"We will audit all environmental legislation at local, State and Federal level, with the intent to streamline regulations and remove unworkable ‘green tape’ so that food production can be expanded where appropriate.",neu
64951_198111,"The Board will also report on the full consequences of new or existing protective regulations restricting trade, and may submit recommendations to the Minister on behalf of the consumers affected.",neu
62110_200810,Its enormity threatens Canada’s overseas reputation for little local value.,neg
64621_201709,Put the interests of New Zealand exporters into trade agreements.,pos
64951_197211,"This has resulted in friction, and, in some cases, a complete disregard for the law.",neg
61320_200811,"We will form a government as decent, candid, purposeful and compassionate as the American people themselves.",pos
61320_200011,Many of today's workers will need retraining over the next decade.,neu
64621_201409,"Whilst noting a recent injection of funding, the resourcing of the Court must be monitored carefully to ensure that lack of resources never again interrupts the smooth running of the consent process.",neu
64620_201709,We’re pulling every lever possible to get the job done.,pos
63620_200111,"Our health policies are of great benefit to families, and of course families receive very major benefits as a result of taxation reform.",pos
61320_196011,We will also support a cooperative program with other nations on international health research.,pos
62620_196806,"In today's circumstances it may well make more sense to deploy Canada's NATO forces in this country with air transport arrangements that permit them to respond to a threat either in the European area or, should it become necessary, in other parts of the world.",neu
62420_201510,SUPREME COURT APPOINTMENTS We will make the Supreme Court appointment process more transparent.,pos
61620_199211,"Instead, we would have an America of families, friends and communities that care about one another.",pos
53520_202002,"For children aged 3-5 years with a diagnosis of Autism Spectrum Disorder (ASD), early intervention classes are available to provide early support before primary school.",pos
53520_200205,"During that period, the Joint Framework Document and the ground rules for the negotiations involving the Northern Ireland parties and the British and Irish Governments were agreed, and Senator George Mitchell was appointed to chair the negotiations.",neu
62110_201910,"Alone among political parties, the Green Party has a climate emergency response plan that recognizes our house is on fire.",pos
61620_198811,"A Strategy for Deterrence  Republicans will implement a strategic modernization program, emphasizing offensive and defensive strategic forces that are affordable and credible and that provide for a more stable balance.",pos
53620_202002,We will: Fully invest in Flood Risk management plans to help protect communities across Ireland.,pos
53620_201602,It also requires a greater balance within and between regions.,neu
53320_199211,"At precisely the  same time, private house prices have rocketed.",neg
64620_198708,Much remains to be achieved in the waterfront industry and we will make its reform a major goal.,neu
63620_202205,Labor has already promised to spend $81 billion more on thought bubbles throughout the pandemic.,neg
51420_197410,This problem can be overcome without any extra governmental expenditure by the introduction of flexible mortgage schemes for all those buying their own home.,pos
53220_198906,• Local authorities to be given a broader range of functions to include.,neu
63110_202205,"In 2018-2019 alone, more than $100 million of donations made to political parties were undisclosed, allowing inﬂuence to be peddled under the radar.1 To curb this inﬂuence, the Greens will ban all political donations from the mining, development, tobacco, alcohol, gambling, banking, defence and pharmaceutical industries.",neg
53420_200705,"Research shows that participation in sport improves general behaviour, respect for authority, discipline, attention levels, self-confidence and attitude to peers.",pos
53110_200205,THE GREEN PARTY/ COMHAONTAS WILL:  - Encourage the widening of tax incentives such as Section 484 of the Taxes Consolidation Act 1998 to encourage a partnership between industry and the arts.,pos
53620_200205,"- Ensure that all public enterprise is managed in the spirit of social partnership, with a view to achieving optimum service delivery and value for the public.",pos
61620_197611,Safeguards must protect us against this information being misused or disclosed.,neu
51620_201912,"This is a package of measures that is fair, firm and compassionate – that brings the immigration system, after so many years, into line with the British people’s own sense of what is right.",pos
64320_198407,2) Labour will provide for automatic eligibility for paid retraining of employees whose skills are displaced or downgraded by new technology.,pos
63330_197405,Interest rates are the highest we have ever known - are they going up?,neg
51330_198706,"Those who live there know better and are appalled at the damage inflicted on the close, caring communities of the past.",neg
53620_201602,Ireland needs to develop a broader spectrum of opportunities for young people who wish to learn a trade with real experience.,neu
62320_197210,"A Program for Consumers  Canadians expect their government to protect them in their role as consumers, having learned from experience that the market does not automatically serve theft needs and wants.",neu
51320_199204,"Councillors must get proper support, to ensure that they are drawn from all parts of the community and are not financially disadvantaged.",pos
61320_201611,"We will promote collaborative stewardship of our natural resources, while developing clean fuels that will grow our economy, lower our energy bills, combat climate change, and make America the clean energy superpower of the 21st century.",pos
63320_199603,"The Coalition has promised no changes to HECS and no undergraduate fees, but has said that it will increase funding to universities through contributions from industry.",neu
61320_200811,We will make clear that we seek no permanent bases in Iraq.,neu
53320_199211,"The thrust of Labour's approach to industrial policy is to create  and retain value added inside Ireland, and to achieve this by a  judicious mix of private sector growth, state participation and  appropriate taxation policies.",pos
51620_201505,"We have already helped small businesses by increasing the Annual Investment Allowance, reducing the burden of employment law through our successful tribunal reforms and supporting 27,000 new business mentors.",pos
63110_201008,Measures The Australian Greens will: 16  ensure that all major water infrastructure systems are in public ownership.,neu
53420_199706,"The  proceeds of such sales would be applied to reducing the national  debt and funding capital investment, not to increasing current  spending.",pos
62951_196806,"THE SPIRITUAL VERITIES  No nation can be truly great or permanently strong unless its people recognize and acknowledge the eternal Deity, Sovereignty, and Righteousness of God and His meritorious right to man's worship and allegiance.",pos
51320_202407,"This will include giving performance information on local services, and notifications of vaccinations and health checks.",neu
63110_202205,The Greens will ensure public schools are funded to meet every student’s needs.,pos
63810_202205,"Funding of up to $900,000 per service will be available.",pos
64620_199911,But the Government can help with funding and sensible rules.,pos
53520_200705,"Faster and More Economical Delivery of Infrastructure We will fast track electricity inter-connection, the inter-urban roads programme and public transport.",pos
63620_201905,"In February 2019, the Morrison Government released Australia’s first Aged Care Diversity Action Plan to support older CALD Australians to overcome barriers they may face in accessing aged care services.",pos
51901_201706,"Plaid Cymru's answer: Plaid Cymru wants to see a real Wales-wide transport system, including re-opening the Carmarthen-Aberystwyth railway, improved Valleys line services, improvements to the A55 and the expansion of the Traws Cymru bus network.",pos
51620_197402,"We shall reform and liberalize the Official Secrets Acts, while retaining those provisions essential for the protection of national security.",neu
63110_201008,repeal amendments to the Northern Territory Land Rights Act that disadvantage Aboriginal and Torres Strait Islander people.,pos
181420_201405,"WE ARE PROUD TO REPORT that we are implementing this noble ideal through our work with other South Africans within the Collective for Democracy where we have agreed on working together based on twenty points which we believe are a priority for our country, South Africa.",pos
